iteration,train_loss,valid_loss,accuracy,norm_ED
2330,0.02294,0.17508,85.857,0.97
2335,0.00874,0.18126,86.356,0.98
2340,0.01618,0.18866,85.524,0.97
2345,0.02351,0.19005,85.191,0.97
2350,0.0493,0.18407,85.691,0.97
2355,0.01835,0.179,87.188,0.98
2360,0.03565,0.1767,86.356,0.98
2365,0.02538,0.18203,84.526,0.97
2370,0.03223,0.18128,84.359,0.97
2375,0.03362,0.18785,82.529,0.97
2380,0.03487,0.18231,84.359,0.97
2385,0.0207,0.18613,85.691,0.97
2390,0.03093,0.18111,85.857,0.97
2395,0.04226,0.18185,85.025,0.97
2400,0.04641,0.17883,86.023,0.97
2405,0.03906,0.17679,87.188,0.98
2410,0.03085,0.17647,86.19,0.98
2415,0.02234,0.17088,85.358,0.97
2420,0.01608,0.17807,84.027,0.97
2425,0.0091,0.17791,86.023,0.97
2430,0.0195,0.17903,86.19,0.98
2435,0.01656,0.17783,86.19,0.97
2440,0.01809,0.17466,86.522,0.98
2445,0.01365,0.17938,86.855,0.98
2450,0.01498,0.18551,86.522,0.97
2455,0.02614,0.1872,86.855,0.97
2460,0.03177,0.18523,87.022,0.98
2465,0.01712,0.17905,87.022,0.98
2470,0.01848,0.17783,85.691,0.97
2475,0.00447,0.17784,86.689,0.98
2480,0.00997,0.17939,86.855,0.98
2485,0.07661,0.19296,84.859,0.97
2490,0.01988,0.19094,84.193,0.97
2495,0.0247,0.18309,85.857,0.98
2500,0.02613,0.1885,86.522,0.98
2505,0.03452,0.18825,85.857,0.97
2510,0.02987,0.18226,86.356,0.97
2515,0.03009,0.17849,86.19,0.97
2520,0.02602,0.19267,86.19,0.97
2525,0.02234,0.17399,87.354,0.97
2530,0.01651,0.17677,86.855,0.97
2535,0.01195,0.17676,87.188,0.97
2540,0.05274,0.1765,86.689,0.98
2545,0.01651,0.19331,86.023,0.97
2550,0.01682,0.17618,85.691,0.97
2555,0.02866,0.17846,85.691,0.97
2560,0.02651,0.1806,86.356,0.97
2565,0.01038,0.17969,86.689,0.97
2570,0.08367,0.18586,85.524,0.97
2575,0.00662,0.1797,86.023,0.98
2580,0.01684,0.17174,86.522,0.98
2585,0.02781,0.18566,85.857,0.97
2590,0.02681,0.17982,86.023,0.98
2595,0.02449,0.19868,86.356,0.98
2600,0.02417,0.18369,86.356,0.97
2605,0.01318,0.18033,86.023,0.97
2610,0.02894,0.19005,85.025,0.97
2615,0.01562,0.1917,85.191,0.97
2620,0.01002,0.19251,85.857,0.97
2625,0.02165,0.19422,85.691,0.97
2630,0.05366,0.19169,84.859,0.97
2635,0.02989,0.20278,85.691,0.97
2640,0.04678,0.18783,85.025,0.97
2645,0.02002,0.1908,85.358,0.97
2650,0.02488,0.18681,85.691,0.97
2655,0.0143,0.18773,85.691,0.97
2660,0.03884,0.19579,83.86,0.97
2665,0.00734,0.19286,84.692,0.97
2670,0.0792,0.18624,84.193,0.97
2675,0.01296,0.18566,85.025,0.97
2680,0.00873,0.18457,86.19,0.97
2685,0.01955,0.18823,86.855,0.98
2690,0.02958,0.19476,85.191,0.97
2695,0.04539,0.18956,86.023,0.97
2700,0.05117,0.1951,85.691,0.97
2705,0.01246,0.17907,86.19,0.97
2710,0.07907,0.18422,85.191,0.97
2715,0.02254,0.18818,86.023,0.97
2720,0.00796,0.18991,86.356,0.97
2725,0.01135,0.18842,87.022,0.98
2730,0.00302,0.19194,86.023,0.98
2735,0.01917,0.19182,85.857,0.97
2740,0.02207,0.19124,85.524,0.97
2745,0.02841,0.18515,85.025,0.97
2750,0.00712,0.18679,86.023,0.98
2755,0.01444,0.17677,86.023,0.98
2760,0.00158,0.18244,85.857,0.98
2765,0.01369,0.1814,85.857,0.98
2770,0.00974,0.17981,85.025,0.97
2775,0.01808,0.18402,85.358,0.97
2780,0.0222,0.1806,86.023,0.97
2785,0.01635,0.18454,86.023,0.97
2790,0.00479,0.18568,86.19,0.98
2795,0.02427,0.1888,86.023,0.97
2800,0.01639,0.19116,86.023,0.97
2805,0.00603,0.18938,86.522,0.98
2810,0.03333,0.20543,86.356,0.98
2815,0.01588,0.19813,86.19,0.98
2820,0.00461,0.19259,86.023,0.98
2825,0.02028,0.18577,86.689,0.98
2830,0.02347,0.18224,86.689,0.98
2835,0.05718,0.18531,86.522,0.97
2840,0.00939,0.18752,86.19,0.98
2845,0.01035,0.18332,87.022,0.98
2850,0.02343,0.18213,87.354,0.98
2855,0.02889,0.18142,86.522,0.98
2860,0.01049,0.17795,87.188,0.98
2865,0.01072,0.18934,86.023,0.97
2870,0.00857,0.19962,85.524,0.97
2875,0.00731,0.19026,86.356,0.98
2880,0.03324,0.18255,85.857,0.98
2885,0.024,0.17854,87.022,0.98
2890,0.0301,0.17634,87.188,0.98
2895,0.01888,0.1778,85.524,0.97
2900,0.0281,0.20214,86.689,0.97
2905,0.01295,0.20612,86.023,0.97
2910,0.03564,0.2287,82.529,0.97
2915,0.01554,0.20233,85.358,0.97
2920,0.03587,0.1999,85.358,0.97
2925,0.01959,0.19952,86.356,0.97
2930,0.03564,0.20078,85.524,0.97
2935,0.00989,0.19907,85.691,0.97
2940,0.02459,0.19453,86.19,0.97
2945,0.00977,0.21599,86.19,0.97
2950,0.01848,0.19,86.522,0.97
2955,0.03159,0.17569,85.857,0.97
2960,0.12225,0.28155,81.198,0.97
2965,0.07006,0.18922,84.193,0.97
2970,0.02059,0.18853,86.855,0.97
2975,0.02148,0.18187,85.857,0.97
2980,0.09618,0.1864,86.356,0.97
2985,0.01248,0.19212,86.356,0.97
2990,0.02478,0.18549,86.855,0.98
2995,0.03109,0.18855,86.522,0.97
3000,0.01452,0.18749,86.19,0.97
